make_model,location,price,body_type,type,warranty,mileage,gearbox,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,extras,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,entertainment_&_media_Package,safety_&_security_Package
Dacia Sandero,Belgium,9290.0,Compact,Used,Yes,52139.0,Manual,Benzine,Dealer,898.0,5.0,115.0,Front,1,1061.0,No,Cloth,1.0,unefficient,6.0,66.0,5.1,Standard,Standard,Safety Premium Package
Dacia Sandero,Germany,15080.0,Compact,Demonstration,No,2212.0,Manual,Benzine,Dealer,999.0,5.0,119.0,Front,7,1040.0,Yes,Cloth,1.0,efficient,0.0,67.0,5.3,Premium,Plus,Safety Premium Package
Dacia Sandero,Spain,6900.0,Compact,Used,Yes,44000.0,Manual,Benzine,Dealer,1149.0,5.0,117.0,Front,1,941.0,No,Cloth,2.0,unefficient,9.0,55.0,5.8,Standard,Standard,Safety Standard Package
Dacia Sandero,Germany,13780.0,Compact,Demonstration,No,2300.0,Manual,Liquid/Natural Gas,Dealer,999.0,6.0,117.0,Front,5,1040.0,Yes,Cloth,1.0,efficient,0.0,74.0,5.1,Premium,Plus,Safety Premium Package
Dacia Sandero,Germany,11990.0,Compact,Used,Yes,51053.0,Automatic,Benzine,Dealer,899.0,5.0,110.0,Front,1,1040.0,No,Cloth,1.0,unefficient,4.0,66.0,4.9,Standard,Standard,Safety Premium Package
Dacia Sandero,Germany,12490.0,Compact,Used,No,50577.0,Manual,Benzine,Dealer,898.0,5.0,120.0,Front,5,1115.0,No,Cloth,1.0,unefficient,4.0,66.0,5.3,Premium,Standard,Safety Premium Package
Dacia Sandero,Germany,15230.0,Compact,Demonstration,No,3000.0,Manual,Liquid/Natural Gas,Dealer,999.0,6.0,119.0,Front,6,1040.0,Yes,Cloth,1.0,efficient,0.0,74.0,5.2,Premium,Plus,Safety Premium Package
Dacia Sandero,Spain,6390.0,Compact,Used,Yes,179672.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1165.0,No,Cloth,2.0,unefficient,12.0,50.0,4.5,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,7990.0,Compact,Used,Yes,106253.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1033.0,No,Cloth,2.0,unefficient,7.0,66.0,4.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Germany,14080.0,Compact,Demonstration,No,1001.0,Manual,Benzine,Dealer,999.0,6.0,111.0,Front,5,1040.0,Yes,Cloth,1.0,efficient,0.0,67.0,4.8,Premium,Plus,Safety Premium Package
Dacia Sandero,Netherlands,14950.0,Compact,Used,Yes,3487.0,Manual,Benzine,Dealer,898.0,5.0,0.0,Front,1,1064.0,Yes,Cloth,1.0,efficient,3.0,66.0,7.0,Standard,Standard,Safety Premium Package
Dacia Sandero,Germany,16690.0,Compact,Pre-registered,No,20.0,Manual,Benzine,Dealer,999.0,6.0,127.0,Front,4,1040.0,No,Cloth,1.0,efficient,1.0,67.0,5.6,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Germany,14480.0,Compact,Used,Yes,26525.0,Manual,Liquid/Natural Gas,Dealer,898.0,5.0,114.0,Front,7,1040.0,No,Cloth,2.0,efficient,3.0,66.0,5.1,Premium,Standard,Safety Premium Package
Dacia Sandero,Netherlands,8995.0,Compact,Used,Yes,100547.0,Automatic,Benzine,Dealer,898.0,5.0,110.0,Front,1,955.0,No,Cloth,1.0,unefficient,6.0,66.0,4.9,Premium,Plus,Safety Premium Package
Dacia Logan,Spain,10900.0,Compact,Used,Yes,39000.0,Manual,Diesel,Dealer,1461.0,5.0,120.0,Front,1,1080.0,No,Cloth,1.0,unefficient,4.0,66.0,3.5,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Netherlands,2945.0,Compact,Used,No,96458.0,Manual,Benzine,Dealer,1390.0,5.0,165.0,Front,1,1011.0,Yes,Cloth,2.0,unefficient,13.0,55.0,7.0,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,10900.0,Compact,Used,No,68739.0,Manual,Benzine,Dealer,898.0,5.0,117.0,Front,1,1023.0,No,Cloth,2.0,efficient,3.0,66.0,5.2,Standard,Standard,Safety Standard Package
Dacia Sandero,Germany,6700.0,Compact,Used,No,53900.0,Manual,Benzine,Dealer,1598.0,5.0,173.0,Front,4,1040.0,Yes,Cloth,2.0,unefficient,11.0,62.0,7.3,Standard,Standard,Safety Standard Package
Dacia Sandero,Germany,12990.0,Compact,Used,No,27249.0,Automatic,Benzine,Dealer,898.0,5.0,110.0,Front,4,1040.0,Yes,Cloth,1.0,unefficient,4.0,66.0,4.9,Premium,Standard,Safety Premium Package
Dacia Sandero,Spain,15990.0,Compact,Pre-registered,Yes,4643.0,Manual,Benzine,Dealer,999.0,6.0,117.0,Front,1,1096.0,No,Cloth,1.0,unefficient,0.0,67.0,4.9,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,6900.0,Compact,Used,Yes,88234.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1105.0,No,Cloth,2.0,unefficient,11.0,55.0,4.1,Standard,Standard,Safety Standard Package
Dacia Sandero,Germany,9990.0,Compact,Used,No,75352.0,Automatic,Benzine,Dealer,898.0,5.0,110.0,Front,4,1055.0,Yes,Cloth,1.0,efficient,6.0,66.0,4.9,Standard,Standard,Safety Premium Package
Dacia Sandero,Netherlands,13499.0,Compact,Used,No,8118.0,Automatic,Benzine,Dealer,898.0,5.0,110.0,Front,1,955.0,Yes,Cloth,1.0,unefficient,4.0,66.0,5.0,Standard,Plus,Safety Premium Package
Dacia Sandero,Netherlands,15850.0,Compact,Used,Yes,43944.0,Manual,Benzine,Dealer,999.0,6.0,115.0,Front,2,1071.0,Yes,Cloth,1.0,efficient,1.0,68.0,5.1,Premium,Standard,Safety Premium Package
Dacia Sandero,Netherlands,10590.0,Compact,Used,Yes,87513.0,Manual,Benzine,Dealer,898.0,5.0,109.0,Front,1,955.0,Yes,Cloth,1.0,unefficient,4.0,66.0,5.1,Premium,Plus,Safety Premium Package
Dacia Sandero,Spain,15950.0,Compact,Used,Yes,13178.0,Manual,Liquid/Natural Gas,Dealer,999.0,6.0,117.0,Front,1,1154.0,No,Cloth,1.0,efficient,1.0,74.0,5.2,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,12572.0,Compact,Used,Yes,17239.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,2.0,efficient,3.0,67.0,0.0,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,8199.0,Compact,Used,Yes,125305.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1114.0,No,Cloth,2.0,unefficient,10.0,65.0,5.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,7999.0,Compact,Used,Yes,125305.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1114.0,No,Cloth,2.0,unefficient,10.0,65.0,5.0,Standard,Standard,Safety Standard Package
Dacia Sandero,France,10499.0,Compact,Used,No,44550.0,Manual,Diesel,Dealer,1461.0,5.0,90.0,Front,1,1040.0,No,Cloth,1.0,unefficient,4.0,56.0,3.8,Standard,Standard,Safety Premium Package
Dacia Sandero,France,10499.0,Compact,Used,Yes,9702.0,Manual,Benzine,Dealer,998.0,5.0,113.0,Front,1,1040.0,No,Cloth,1.0,efficient,3.0,54.0,5.1,Standard,Standard,Safety Premium Package
Dacia Sandero,Netherlands,2400.0,Compact,Used,No,147217.0,Manual,Benzine,Dealer,1390.0,5.0,161.0,Front,1,950.0,No,Cloth,2.0,unefficient,13.0,55.0,6.8,Standard,Standard,Safety Standard Package
Dacia Sandero,Germany,15240.0,Compact,Used,No,150.0,Manual,Benzine,Dealer,999.0,5.0,119.0,Front,3,1040.0,Yes,Cloth,1.0,unefficient,0.0,67.0,4.5,Standard,Plus,Safety Premium Package
Dacia Sandero,France,10499.0,Compact,Used,Yes,20000.0,Manual,Benzine,Dealer,998.0,5.0,113.0,Front,1,1040.0,No,Cloth,1.0,efficient,3.0,54.0,5.1,Standard,Standard,Safety Premium Package
Dacia Sandero,France,8990.0,Compact,Used,Yes,47800.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,2,1040.0,No,Cloth,1.0,efficient,3.0,54.0,5.1,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,8990.0,Compact,Used,No,55411.0,Manual,Benzine,Dealer,1149.0,5.0,117.0,Front,1,941.0,No,Cloth,1.0,unefficient,6.0,55.0,5.8,Standard,Standard,Safety Standard Package
Dacia Sandero,Germany,12010.0,Compact,Pre-registered,No,10.0,Manual,Benzine,Dealer,999.0,5.0,114.0,Front,5,1089.0,Yes,Cloth,1.0,unefficient,0.0,49.0,5.0,Standard,Plus,Safety Premium Package
Dacia Sandero,Italy,10689.0,Compact,Used,Yes,13792.0,Manual,Benzine,Dealer,998.0,5.0,113.0,Front,1,1040.0,No,Cloth,1.0,efficient,3.0,54.0,5.0,Standard,Standard,Safety Premium Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,10500.0,Compact,Used,Yes,8982.0,Manual,Benzine,Dealer,1149.0,5.0,117.0,Front,1,941.0,No,Cloth,1.0,unefficient,6.0,55.0,5.8,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,13990.0,Compact,Used,Yes,65678.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1090.0,No,Cloth,1.0,efficient,3.0,70.0,3.8,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,14000.0,Compact,Pre-registered,Yes,2579.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1015.0,No,Cloth,1.0,unefficient,0.0,49.0,5.0,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,12300.0,Compact,Used,Yes,35013.0,Manual,Benzine,Dealer,898.0,5.0,117.0,Front,1,1023.0,No,Cloth,2.0,unefficient,7.0,66.0,5.2,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14500.0,Compact,Used,Yes,140000.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1090.0,No,Cloth,1.0,unefficient,2.0,70.0,3.8,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,13850.0,Compact,Used,Yes,60000.0,Automatic,Benzine,Dealer,898.0,5.0,117.0,Front,1,1040.0,No,Cloth,1.0,unefficient,4.0,66.0,5.1,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14409.0,Compact,Used,Yes,30473.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1090.0,No,Cloth,1.0,unefficient,2.0,70.0,3.8,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,10900.0,Compact,Used,Yes,6999.0,Manual,Benzine,Dealer,1149.0,5.0,117.0,Front,1,941.0,No,Cloth,1.0,unefficient,6.0,55.0,5.8,Standard,Standard,Safety Premium Package
Dacia Sandero,Spain,5190.0,Compact,Used,Yes,272000.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1165.0,No,Cloth,2.0,unefficient,12.0,50.0,4.5,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,12900.0,Compact,Used,Yes,6200.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,969.0,No,Cloth,1.0,efficient,3.0,55.0,5.3,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,12750.0,Compact,Used,Yes,26506.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,969.0,No,Cloth,1.0,efficient,3.0,55.0,5.3,Standard,Standard,Safety Premium Package
Dacia Sandero,Spain,12990.0,Compact,Used,Yes,26000.0,Manual,Benzine,Dealer,898.0,5.0,117.0,Front,1,1023.0,No,Cloth,2.0,efficient,5.0,66.0,5.2,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14818.0,Compact,Used,Yes,16766.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,969.0,No,Cloth,1.0,unefficient,2.0,74.0,4.6,Standard,Standard,Safety Premium Package
Dacia Sandero,Spain,11490.0,Compact,Used,No,57423.0,Manual,Benzine,Dealer,898.0,5.0,117.0,Front,1,1040.0,No,Cloth,2.0,efficient,5.0,66.0,5.1,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,8299.0,Compact,Used,Yes,79999.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1033.0,No,Cloth,1.0,unefficient,6.0,66.0,3.8,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,9500.0,Compact,Used,Yes,100642.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1033.0,No,Cloth,1.0,unefficient,6.0,55.0,3.8,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,12500.0,Compact,Used,Yes,78688.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1085.0,No,Cloth,1.0,efficient,3.0,70.0,3.5,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,12499.0,Compact,Used,Yes,16050.0,Manual,Benzine,Dealer,898.0,5.0,117.0,Front,1,1040.0,No,Cloth,1.0,efficient,3.0,66.0,5.6,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,15299.0,Compact,Pre-registered,Yes,1962.0,Manual,Benzine,Dealer,999.0,6.0,117.0,Front,1,1096.0,No,Cloth,1.0,efficient,1.0,67.0,4.9,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,14818.0,Compact,Used,Yes,16766.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,969.0,No,Cloth,1.0,unefficient,2.0,74.0,4.6,Standard,Standard,Safety Premium Package
Dacia Sandero,Spain,12591.0,Compact,Used,Yes,5550.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,969.0,No,Cloth,1.0,unefficient,2.0,74.0,4.9,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,15299.0,Compact,Pre-registered,Yes,1962.0,Manual,Benzine,Dealer,999.0,6.0,117.0,Front,1,1096.0,No,Cloth,1.0,efficient,1.0,67.0,4.9,Standard,Standard,Safety Premium Plus Package
Dacia Logan,Spain,11727.0,Compact,Used,Yes,15008.0,Manual,Benzine,Dealer,999.0,5.0,120.0,Front,1,973.0,No,Cloth,1.0,unefficient,3.0,55.0,5.2,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,11490.0,Compact,Used,Yes,99000.0,Manual,Benzine,Dealer,898.0,5.0,117.0,Front,1,1040.0,No,Cloth,1.0,unefficient,4.0,66.0,5.1,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Germany,10880.0,Compact,Used,No,71406.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,4,1192.0,Yes,Cloth,1.0,efficient,3.0,70.0,3.6,Standard,Plus,Safety Premium Package
Dacia Sandero,Spain,12990.0,Compact,Used,Yes,14000.0,Manual,Benzine,Dealer,898.0,5.0,117.0,Front,1,1040.0,No,Cloth,2.0,efficient,5.0,66.0,5.1,Standard,Standard,Safety Premium Package
Dacia Sandero,Spain,8950.0,Compact,Used,Yes,102000.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1085.0,No,Cloth,1.0,unefficient,6.0,66.0,3.5,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,15299.0,Compact,Pre-registered,Yes,1962.0,Manual,Benzine,Dealer,999.0,6.0,117.0,Front,1,1096.0,No,Cloth,1.0,efficient,1.0,67.0,4.9,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,9990.0,Compact,Used,No,29043.0,Manual,Benzine,Dealer,898.0,5.0,117.0,Front,1,980.0,No,Cloth,2.0,efficient,5.0,66.0,4.9,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Germany,19390.0,Compact,Used,No,13450.0,Manual,Benzine,Dealer,999.0,5.0,119.0,Front,6,1040.0,Yes,Cloth,1.0,unefficient,0.0,74.0,5.2,Premium,Plus,Safety Premium Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,12990.0,Compact,Used,Yes,11000.0,Automatic,Diesel,Dealer,1461.0,6.0,96.0,Front,1,1090.0,No,Cloth,2.0,efficient,5.0,66.0,3.6,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,8400.0,Compact,Used,Yes,132300.0,Manual,Benzine,Dealer,1149.0,5.0,117.0,Front,1,941.0,No,Cloth,2.0,unefficient,7.0,55.0,5.8,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14818.0,Compact,Used,Yes,16766.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,969.0,No,Cloth,1.0,unefficient,2.0,74.0,4.6,Standard,Standard,Safety Premium Package
Dacia Sandero,Spain,12500.0,Compact,Used,Yes,22700.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1090.0,No,Cloth,1.0,efficient,3.0,70.0,3.8,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,6500.0,Compact,Used,Yes,125922.0,Manual,Benzine,Dealer,1149.0,5.0,117.0,Front,1,975.0,No,Cloth,2.0,unefficient,11.0,55.0,5.9,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,5950.0,Compact,Used,Yes,93301.0,Manual,Benzine,Dealer,1149.0,5.0,117.0,Front,1,975.0,No,Cloth,2.0,unefficient,12.0,55.0,5.9,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,13400.0,Compact,Used,Yes,50991.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1085.0,No,Cloth,1.0,efficient,3.0,70.0,3.5,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,14409.0,Compact,Used,Yes,30473.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1090.0,No,Cloth,1.0,unefficient,2.0,70.0,3.8,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,14409.0,Compact,Used,Yes,30473.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1090.0,No,Cloth,1.0,unefficient,2.0,70.0,3.8,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,13400.0,Compact,Used,Yes,50991.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1085.0,No,Cloth,1.0,efficient,3.0,70.0,3.5,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,10700.0,Compact,Used,Yes,30186.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1033.0,No,Cloth,2.0,efficient,5.0,55.0,3.8,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,10990.0,Compact,Used,Yes,68263.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1033.0,No,Cloth,1.0,unefficient,6.0,66.0,4.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,12591.0,Compact,Used,Yes,5550.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,969.0,No,Cloth,1.0,unefficient,2.0,74.0,4.9,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,13299.0,Compact,Used,Yes,42037.0,Manual,Diesel,Dealer,1461.0,5.0,96.0,Front,1,1090.0,No,Cloth,1.0,efficient,3.0,70.0,3.8,Standard,Standard,Safety Premium Plus Package
Dacia Sandero,Spain,4950.0,Compact,Used,Yes,139249.0,Manual,Benzine,Dealer,1149.0,5.0,117.0,Front,1,941.0,No,Cloth,1.0,efficient,8.0,55.0,5.8,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14727.0,Compact,Pre-registered,Yes,2386.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,1072.0,No,Cloth,1.0,unefficient,0.0,67.0,0.0,Standard,Standard,Safety Standard Package
Dacia Sandero,Spain,14818.0,Compact,Used,Yes,16766.0,Manual,Benzine,Dealer,999.0,5.0,117.0,Front,1,969.0,No,Cloth,1.0,unefficient,2.0,74.0,4.6,Standard,Standard,Safety Premium Package
Dacia Sandero,Spain,8500.0,Compact,Used,Yes,84915.0,Manual,Benzine,Dealer,898.0,5.0,117.0,Front,1,1023.0,No,Cloth,2.0,unefficient,7.0,66.0,5.2,Standard,Standard,Safety Standard Package
Dacia Sandero,Germany,6890.0,Compact,Used,No,88622.0,Manual,Benzine,Dealer,1149.0,5.0,137.0,Front,3,1040.0,Yes,Cloth,2.0,unefficient,6.0,55.0,5.8,Standard,Standard,Safety Premium Package
